fold,total_return,ann_ret,ann_vol,sharpe,pnl_file,model
1,-0.7199719944142062,-0.30690299437336477,0.15983718325989754,-1.920097615048284,figures/wfcv_fold_1.csv,logistic
2,-0.3767644405027488,-0.12731031911619783,0.17190281568160126,-0.7405947285471011,figures/wfcv_fold_2.csv,logistic
3,-0.2982065309647576,-0.0969573029300812,0.11373487595360711,-0.8524852391770353,figures/wfcv_fold_3.csv,logistic
4,-0.8107000226557711,-0.38081651839020736,0.10862277362780383,-3.5058625891387747,figures/wfcv_fold_4.csv,logistic
5,-0.6240020060887655,-0.2455100972995955,0.11026374015174117,-2.2265714636718554,figures/wfcv_fold_5.csv,logistic
1,0.03458365479501602,0.00983983089758289,0.1701223368898334,0.05783973508402308,figures/wfcv_fold_1.csv,rf
2,-0.7201761833880873,-0.3070485838881578,0.15041387999691358,-2.041358044180885,figures/wfcv_fold_2.csv,rf
3,-0.7009192918552545,-0.29363843633928666,0.09456914553609515,-3.1050131062801105,figures/wfcv_fold_3.csv,rf
4,-0.5175185011888064,-0.18933311770137462,0.09182846387887394,-2.061812968483431,figures/wfcv_fold_4.csv,rf
5,-0.21771582632847353,-0.06827233950722245,0.0651301715253663,-1.0482444297053994,figures/wfcv_fold_5.csv,rf
1,0.9515326948874212,0.21235062168698637,0.23247527674428412,0.9134331386152762,figures/wfcv_fold_1.csv,svm
2,-0.30797941576797494,-0.10059711630567392,0.17449174263722597,-0.5765150532929149,figures/wfcv_fold_2.csv,svm
3,-0.6092538076940748,-0.23710338250369212,0.11312831308863588,-2.0958801208139817,figures/wfcv_fold_3.csv,svm
4,0.31554373047078266,0.08218702670479772,0.14420076930677292,0.5699486008285637,figures/wfcv_fold_4.csv,svm
5,1.0706731564511518,0.2332187733815918,0.15992629458774132,1.4582891073840243,figures/wfcv_fold_5.csv,svm
1,0.27958947336917306,0.07358478923720702,0.174112522710171,0.4226277816886084,figures/wfcv_fold_1.csv,knn
2,-0.6682050021489858,-0.27220257903538314,0.14123618925182685,-1.9272863454991744,figures/wfcv_fold_2.csv,knn
3,-0.5549608614154895,-0.20797537704136138,0.09777497567894436,-2.1270818591075185,figures/wfcv_fold_3.csv,knn
4,-0.461856410047608,-0.16343695959028726,0.11192137671328153,-1.4602836776121648,figures/wfcv_fold_4.csv,knn
5,-0.22224534749229996,-0.06982926013164426,0.109681165335974,-0.6366568035427425,figures/wfcv_fold_5.csv,knn
1,0.4361121996881374,0.1098652428379907,0.16092345760124538,0.6827173892213242,figures/wfcv_fold_1.csv,mlp
2,-0.686094323700654,-0.28372769269578957,0.14152537507968008,-2.004783188428565,figures/wfcv_fold_2.csv,mlp
3,-0.5635590374762528,-0.21241298839765455,0.1004842085177611,-2.113894228067781,figures/wfcv_fold_3.csv,mlp
4,-0.38304924557804454,-0.12985396836941798,0.10892090498062604,-1.1921859113502165,figures/wfcv_fold_4.csv,mlp
5,-0.08872585348934303,-0.026403674410454436,0.1182366378886182,-0.22331212119992233,figures/wfcv_fold_5.csv,mlp
1,-0.5264384196896745,-0.19367816450375475,0.1247426326032614,-1.5526220704331282,figures/wfcv_fold_1.csv,xgb
2,-0.7009993139966753,-0.29369287189832693,0.14861055131019985,-1.976258544962207,figures/wfcv_fold_2.csv,xgb
3,-0.5886449793543995,-0.2257264223620905,0.09425351665909308,-2.394885945513563,figures/wfcv_fold_3.csv,xgb
4,-0.47605677248985423,-0.16985518719686654,0.10016860438734908,-1.6956928594117322,figures/wfcv_fold_4.csv,xgb
5,-0.5436613447232033,-0.20223545626570816,0.09106230202915647,-2.220847175606829,figures/wfcv_fold_5.csv,xgb
1,-0.38827922612957977,-0.13198480047349048,0.14043621656836025,-0.9398202522014265,figures/wfcv_fold_1.csv,lgb
2,-0.7360467792986952,-0.31860370773907565,0.14719560479472354,-2.1644919913430494,figures/wfcv_fold_2.csv,lgb
3,-0.6411777289334571,-0.2556018853789801,0.09394931384196736,-2.7206359996298577,figures/wfcv_fold_3.csv,lgb
4,-0.3878811075319183,-0.1318221413387637,0.08919724424462139,-1.4778723541866887,figures/wfcv_fold_4.csv,lgb
5,-0.5081132129174466,-0.18481315031344747,0.09630035004061545,-1.919132695109634,figures/wfcv_fold_5.csv,lgb
