symbol,target_date,side,qty,order_type,stop_price,limit_price,models_included,avg_prob
GLD,2025-10-30,SELL,100,market,370.2685710362025,353.30857195172985,7,0.3821494903008405
GLD,2025-10-31,SELL,100,market,371.7222852434431,351.37028634207593,7,0.4359029379619989
GLD,2025-11-03,SELL,100,market,371.7222852434431,351.37028634207593,7,0.44116536747873747
GLD,2025-11-04,SELL,100,market,377.5371420724051,343.6171439034598,7,0.23073196887414632
GLD,2025-11-05,HOLD,100,none,358.154285975865,369.4609520321801,7,0.5323455584123022
GLD,2025-11-06,SELL,100,market,372.6914280482701,350.07809593563985,7,0.3605727299514879
GLD,2025-11-07,SELL,100,market,365.907428414481,359.12342878069194,7,0.418326337634587
GLD,2025-11-10,HOLD,100,none,360.092571585519,366.87657121930806,7,0.47207574672102753
GLD,2025-11-11,SELL,100,market,371.7222852434431,351.37028634207593,7,0.3688595863117095
GLD,2025-11-12,SELL,100,market,377.5371420724051,343.6171439034598,7,0.3282854917038363
GLD,2025-11-13,SELL,100,market,370.2685710362026,353.30857195172996,7,0.36024516303669163
GLD,2025-11-14,HOLD,100,none,365.9074284144811,359.12342878069205,7,0.46872412718359985
GLD,2025-11-17,HOLD,100,none,363.0,363.0,7,0.5016240388090597
GLD,2025-11-18,SELL,100,market,377.5371420724051,343.6171439034598,7,0.3535265364326238
GLD,2025-11-19,SELL,100,market,377.5371420724051,343.6171439034598,7,0.3004466486509098
